Date,Part,Price,Description,URL
2021-02-14 21:27:43,rx6800,899.00,XFX Speedster RX-68XLATBD9 Radeon RX 6800 Grafikkarte (16 GB. GDDR6. HDMI. DisplayPort. PCIe 4.0) Sc,https://www.amazon.de/_itm/dp/B08P5YFZCY?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-14 20:51:25,rx6800,899.00,XFX Speedster RX-68XLATBD9 Radeon RX 6800 Grafikkarte (16 GB. GDDR6. HDMI. DisplayPort. PCIe 4.0) Sc,https://www.amazon.de/_itm/dp/B08P5YFZCY?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-14 19:32:19,rtx3070,820.90,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-14 19:32:12,rtx3070,817.99,Gigabyte RTX 3070 Gaming OC - Tarjeta gráfica GeForce 8 GB,https://www.amazon.es/_itm/dp/B08KHL21CV?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-14 18:51:27,rtx3070,817.99,Gigabyte RTX 3070 Gaming OC - Tarjeta gráfica GeForce 8 GB,https://www.amazon.es/_itm/dp/B08KHL21CV?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-14 18:39:40,rx6800,899.00,XFX Speedster RX-68XLATBD9 Radeon RX 6800 Grafikkarte (16 GB. GDDR6. HDMI. DisplayPort. PCIe 4.0) Sc,https://www.amazon.de/_itm/dp/B08P5YFZCY?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-14 17:09:38,rtx3070,817.99,Gigabyte RTX 3070 Gaming OC - Tarjeta gráfica GeForce 8 GB,https://www.amazon.es/_itm/dp/B08KHL21CV?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-14 16:51:18,rtx3070,770.49,Gigabyte GeForce RTX 3070 GAMING OC - Scheda grafica da 8 GB,https://www.amazon.it/_itm/dp/B08KHL21CV?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-02-14 16:49:01,rtx3070,817.99,Gigabyte RTX 3070 Gaming OC - Tarjeta gráfica GeForce 8 GB,https://www.amazon.es/_itm/dp/B08KHL21CV?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-14 16:48:34,rtx3070,820.90,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
